timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1663874834905,57,Instructions - GET,200,OK,Load tests 2-2,text,true,,1236,348,3,3,https://qauto2.forstudy.space/api/instructions?carBrandId=1&carModelId=1&page=1,57,0,0
1663874834963,511,Remove Car - DELETE,404,Not Found,Load tests 2-2,text,true,,348,398,3,3,https://qauto2.forstudy.space/api/cars/5000,511,0,0
1663874835475,255,Log Out - GET,404,Not Found,Load tests 2-2,text,true,,348,314,3,3,https://qauto2.forstudy.space/api/cars/logout,255,0,0
1663874835732,160,Guest log in - POST,401,Unauthorized,Load tests 2-2,text,true,,400,456,3,3,https://qauto2.forstudy.space/api-logs,160,0,110
1663874833347,2672,Password Reset with Valid Email - POST,200,OK,Load tests 2-1,text,true,,311,440,3,3,https://qauto2.forstudy.space/api/auth/resetPassword,2672,0,0
1663874833346,2677,Password Reset with Valid Email - POST,200,OK,Load tests 2-3,text,true,,311,436,3,3,https://qauto2.forstudy.space/api/auth/resetPassword,2677,0,0
1663874836020,53,Password reset with invalid email - POST,400,Bad Request,Load tests 2-1,text,true,,355,428,3,3,https://qauto2.forstudy.space/api/auth/resetPassword,53,0,0
1663874836023,57,Password reset with invalid email - POST,400,Bad Request,Load tests 2-3,text,true,,355,424,3,3,https://qauto2.forstudy.space/api/auth/resetPassword,57,0,0
1663874836074,53,Cars brands - GET,200,OK,Load tests 2-1,text,true,,577,318,3,3,https://qauto2.forstudy.space/api/cars/brands,53,0,0
1663874836128,55,Cars - GET,200,OK,Load tests 2-1,text,true,,322,324,3,3,https://qauto2.forstudy.space/api/cars?user=$(USER),55,0,0
1663874835892,304,Stage of creation of API - POST,400,Bad Request,Load tests 2-2,text,true,,353,536,3,3,https://qauto2.forstudy.space/api/auth/signup,304,0,0
1663874836184,54,Add car - GET,200,OK,Load tests 2-1,text,true,,507,331,3,3,https://qauto2.forstudy.space/api/cars/models?carBrandId=1,54,0,0
1663874836083,652,Add car - POST,400,Bad Request,Load tests 2-3,text,true,,361,423,3,3,https://qauto2.forstudy.space/api/cars,652,0,0
1663874836197,541,Sign in - POST,200,OK,Load tests 2-2,text,true,,668,463,3,3,https://qauto2.forstudy.space/api/auth/signin,541,0,0
1663874836239,500,Add car - POST,400,Bad Request,Load tests 2-1,text,true,,361,427,3,3,https://qauto2.forstudy.space/api/cars,500,0,0
1663874836737,53,Add car and incorrect mileage - POST,400,Bad Request,Load tests 2-3,text,true,,355,750,3,3,https://qauto2.forstudy.space/api/expenses?carId=24185,53,0,0
1663874836791,559,Add an expense - POST,400,Bad Request,Load tests 2-3,text,true,,355,577,3,3,https://qauto2.forstudy.space/api/expenses,559,0,0
1663874836740,610,Add car and incorrect mileage - POST,400,Bad Request,Load tests 2-1,text,true,,355,754,3,3,https://qauto2.forstudy.space/api/expenses?carId=24185,610,0,0
1663874836739,611,Login with valid login details & Remember me option ON - POST,200,OK,Load tests 2-2,text,true,,668,463,3,3,https://qauto2.forstudy.space/api/auth/signin,611,0,0
1663874837353,55,Add an expense - POST,400,Bad Request,Load tests 2-1,text,true,,355,581,3,3,https://qauto2.forstudy.space/api/expenses,55,0,0
